epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7246,0.80254,4.55563,0.99062,0.07143,0.07143,0.07107,0.07107,0.52687,4.10569,0.8217,8.34e-05,8.34e-05,8.34e-05
2,24.6076,0.68843,3.58109,0.8523,0.02403,0.98214,0.24524,0.19605,0.64371,3.79473,0.82818,0.000170654,0.000170654,0.000170654
3,36.4728,0.68544,2.74114,0.85843,0.02055,0.96429,0.39752,0.35862,0.57314,3.46306,0.83866,0.000256146,0.000256146,0.000256146
4,48.4997,0.6552,2.28005,0.85224,0.65034,0.28716,0.47921,0.43666,0.52009,3.26502,0.8267,0.000339877,0.000339877,0.000339877
5,60.6754,0.65522,1.94016,0.85224,0.88114,0.20507,0.6006,0.53908,0.50117,3.02918,0.82475,0.000421846,0.000421846,0.000421846
6,73.0877,0.61839,1.59013,0.84398,0.90058,0.35377,0.66934,0.60805,0.50885,2.74672,0.84634,0.000502054,0.000502054,0.000502054
7,85.0586,0.60588,1.38815,0.85539,0.70285,0.52381,0.75762,0.70088,0.48602,2.34646,0.83177,0.000522974,0.000522974,0.000522974
8,97.0279,0.60153,1.16434,0.85168,0.79651,0.57283,0.80665,0.77322,0.42247,1.97406,0.83117,0.000517469,0.000517469,0.000517469
9,110.537,0.57176,1.04914,0.84668,0.50175,0.64701,0.68424,0.63898,0.45371,1.91223,0.83328,0.000511965,0.000511965,0.000511965
10,123.386,0.56649,1.00378,0.84201,0.49325,0.74075,0.75839,0.70927,0.42893,1.702,0.824,0.00050646,0.00050646,0.00050646
11,135.994,0.54575,0.91235,0.83124,0.74845,0.67878,0.83986,0.78191,0.46322,1.32452,0.83183,0.000500956,0.000500956,0.000500956
12,148.599,0.54656,0.91683,0.83826,0.68916,0.88018,0.90024,0.83842,0.48357,1.20547,0.82491,0.000495452,0.000495452,0.000495452
13,160.861,0.53267,0.85649,0.83007,0.94435,0.70773,0.88482,0.83907,0.43319,1.16601,0.82549,0.000489947,0.000489947,0.000489947
14,173.66,0.52215,0.80471,0.83272,0.8627,0.78253,0.89899,0.85527,0.43528,1.02318,0.8285,0.000484443,0.000484443,0.000484443
15,185.931,0.49239,0.81749,0.82798,0.89805,0.8216,0.90613,0.85185,0.4257,0.91037,0.82912,0.000478938,0.000478938,0.000478938
16,198.025,0.50487,0.7885,0.82198,0.82005,0.82093,0.91214,0.85864,0.40727,0.94369,0.81364,0.000473434,0.000473434,0.000473434
17,210.004,0.48404,0.77615,0.82154,0.8469,0.81411,0.91214,0.85675,0.44502,1.08202,0.84221,0.00046793,0.00046793,0.00046793
18,222.066,0.48112,0.73593,0.82053,0.84353,0.82462,0.90823,0.8782,0.37071,1.01557,0.82895,0.000462425,0.000462425,0.000462425
19,234.622,0.47373,0.69908,0.81549,0.9109,0.76441,0.9102,0.86051,0.37914,0.96039,0.82056,0.000456921,0.000456921,0.000456921
20,247.194,0.4619,0.72989,0.8152,0.89627,0.78749,0.91788,0.88104,0.37648,1.08087,0.82163,0.000451416,0.000451416,0.000451416
21,261.247,0.45535,0.70154,0.81432,0.89633,0.75851,0.91252,0.87254,0.40274,0.98372,0.83255,0.000445912,0.000445912,0.000445912
22,273.48,0.44502,0.68528,0.81544,0.83585,0.78093,0.90468,0.8551,0.38479,1.04946,0.83434,0.000440408,0.000440408,0.000440408
23,285.868,0.43906,0.68239,0.8153,0.92489,0.7754,0.91149,0.87741,0.3717,0.96025,0.82411,0.000434903,0.000434903,0.000434903
24,298.143,0.43166,0.65737,0.81854,0.87771,0.79438,0.92593,0.8739,0.40657,0.91054,0.83263,0.000429399,0.000429399,0.000429399
25,310.498,0.43433,0.65379,0.81878,0.8764,0.77184,0.91214,0.87153,0.39869,0.87132,0.82707,0.000423894,0.000423894,0.000423894
26,323.506,0.44726,0.64024,0.81551,0.78274,0.85596,0.90664,0.87654,0.35438,0.94133,0.82114,0.00041839,0.00041839,0.00041839
27,336.099,0.42949,0.63582,0.8175,0.91133,0.74304,0.90307,0.87898,0.35902,0.99435,0.81055,0.000412886,0.000412886,0.000412886
28,348.583,0.42335,0.6184,0.81306,0.89815,0.84622,0.90307,0.86875,0.35918,0.91652,0.81063,0.000407381,0.000407381,0.000407381
29,362.009,0.42448,0.62696,0.82148,0.86033,0.8492,0.90071,0.85018,0.39884,0.97131,0.81689,0.000401877,0.000401877,0.000401877
30,374.689,0.43588,0.64475,0.80755,0.84286,0.82206,0.90307,0.85732,0.36087,0.93071,0.81625,0.000396372,0.000396372,0.000396372
